109,ZAPALLO CALABACIN ENTERO,1,99.61,99.61,12
110,PAN TORTUGA X6 300G. SORCHANTES,1,82,82,12
111,CEBOLLA MALLA 6 PTS,1,53,53,12
112,HUEVO COL. JUMBO X12 TIENDA IN,1,112,112,12
113,SALSA SOJA AGRIDULCE 250. KYOT,1,186,186,12
114,QUESO ALPA MAGRETTO S.UNTABLE,1,99,99,12
115,BU¥UELOS DE ESPINACA KG,1,210.2,210.2,12
116,AVENA LAMIN. INST. 400G TIENDA,1,68,68,12
117,AGUA SALUS 6.25L. S/GAS 12 PTS,1,116,116,12
118,MILANESA DE CARNE FRITA KG,1,337.9,337.9,12
119,MUZZARELLA LIGHT CONAPROLE,1,152.1,152.1,12
120,AJOS X 2 7 PTS,1,61,61,12
121,AJO EN VINAGRE S/SAL 328G. DEL,1,166,166,12
122,POSTRE LIGHT VAINILLA 43G. ROYA,1,90,90,12
123,REFRESCO SPRITE ZERO 2.25L. DES,1,143,143,12
124,ACEITE GIRAS/MAIZ 900ML. TIENDA,1,107,107,12
125,TERMA. LIMON CERO 1.35L. 14 PT,1,131,131,12
126,LECHUGA CRESPA BLANCA 5 PTS,1,41,41,12
127,REFRESCO 2.25L. COLA SIN AZUCA,1,138,138,12
128,REFRESCO 3L. SCHWEPPES POMELO,1,147,147,13
129,AGUA SALUS 6.25L. S/GAS 12 PTS,1,116,116,13
130,REFRESCO 2.25L. COLA LIGHT 15,3,149,447,13
131,YOGUR ENT. VAINILLA PET 780ML. C,1,157,157,13
132,FIDEO CORBATITA AL HUEVO 500G,1,86,86,13
133,PAPA ROSADA OPORTUNIDAD,1,85.8,85.8,13
134,ZAPALLITO ENVASADO,1,103.3,103.3,13
135,LECHE ENTERA L/VIDA 1L. TIENDA,1,56,56,13
136,CHORIZO ANGUS X7 SARUBBI,1,370.7,370.7,13
137,QUESO PARRILLERO CU¥A OREGANO,1,213,213,13
138,SALCHICHA C/QUESO MUNICH KALI,1,188,188,13
139,CAFE MOLIDO DARK VERONA 250G S,1,355,355,13
140,CEREAL MUSLI VITA. FRUT. SEC 45,1,278,278,13
141,PAN TORTUGA X6 300G. SORCHANTES,1,82,82,13
142,MANZANA ROYAL GALA 1.5 K 12 PT,1,118,118,14
143,LECHE 0% LACTOSA 1L LA SERENIS,2,82,164,14
144,ATUN NATURAL 354G. T. INGLESA 25,1,249,249,14
145,ACEITE GIRAS/MAIZ 900ML. TIENDA,1,89,89,14
146,PULPA TOMATE CONC. 1030G. TIEN,1,59,59,14
147,SELECCION INSPIRADA 170GRS 14,1,139,139,14
148,ZANAHORIA MEDIANA 800 G 6 PTS,1,52,52,14
149,AGUA SALUS 6.25L. S/GAS 12 PTS,1,116,116,14
150,PAN VITAL SEMILLADO 540 GRS B,1,185,185,14
151,MILANESA DE NALGA TIERNIZADA,1,224,224,14
152,REFRESCO SPRITE ZERO 2.25L. DES,1,138,138,14
153,RUCULA TRES SOLES 100 GRS 8 PTS,1,76,76,14
154,FIDEOS FETUCCINE 500G TIENDA,2,62,124,14
